strain	originating_lab	submitting_lab
A/Peru/5610/2010	us_namru_6	centers_for_disease_control_and_prevention
A/Peru/17/2013	us_namru_6	centers_for_disease_control_and_prevention
A/Peru/15/2013	us_namru_6	centers_for_disease_control_and_prevention
A/Peru/16/2013	us_namru_6	centers_for_disease_control_and_prevention
A/Perth/431/2009	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/807/2009	austin_health	who_collaborating_centre_for_reference_and_research_on_influenza
A/Argentina/HNRG91/2009-egg		other_database_import
A/Darwin/2141/2009-egg	royal_darwin_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Darwin/2143/2009-egg	royal_darwin_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Arizona/6/2010	arizona_department_of_health_services	centers_for_disease_control_and_prevention
A/Hawaii/1/2010	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Hawaii/1/2010-egg	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Hawaii/2/2010-egg	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Hawaii/2/2010	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/NorthCarolina/38/2009-egg	north_carolina_state_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/NorthCarolina/38/2009	north_carolina_state_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Connecticut/2/2010	connecticut_department._of_public_health	centers_for_disease_control_and_prevention
A/Montana/1/2010-egg	montana_public_health_laboratory	centers_for_disease_control_and_prevention
A/Montana/1/2010	montana_public_health_laboratory	centers_for_disease_control_and_prevention
A/Chiba-C/51/2009		other_database_import
A/Yamagata/107/2010	yamagata_prefectural_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Singapore/ON1063/2009		other_database_import
A/Neimenggu-Hangjinhouqi/SWL54/2009-egg		who_chinese_national_influenza_center
A/Australia/47/2009		other_database_import
A/Chennai/NIV658/2009		other_database_import
A/Shanxi-Lishi/SWL530/2009		who_chinese_national_influenza_center
A/Singapore/ON1079/2009		other_database_import
A/Athens/INS389/2010		other_database_import
A/Tanzania/412/2011	national_influenza_lab	centers_for_disease_control_and_prevention
A/Southaustralia/162/2012	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/SriLanka/2009/2009		other_database_import
A/Hangzhou/111/2010	hangzhou_center_for_disease_control_and_prevention	hangzhou_center_for_disease_control_and_prevention
A/Auckland/532/2009	auckland_healthcare	who_collaborating_centre_for_reference_and_research_on_influenza
A/Jiangxi-Donghu/SWL1132/2010		who_chinese_national_influenza_center
A/Iowa/4/2010	iowa_state_hygienic_laboratory	centers_for_disease_control_and_prevention
A/Chongqing-Wanzhou/SWL1559/2009		who_chinese_national_influenza_center
A/Texas/JMS403/2009		other_database_import
A/JammuKashmir/21/2010		other_database_import
A/Anhui-Luyang/SWL1103/2010		who_chinese_national_influenza_center
A/Tennessee/F1042A/2010		other_database_import
A/Paraguay/813/2010	central_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Texas/JMS401/2009		other_database_import
A/HongKong/H090-715-V10/2009		other_database_import
A/Guangdong-Luohu/SWL1755/2009-egg		who_chinese_national_influenza_center
A/Chile/3375/2009		other_database_import
A/Singapore/ON141/2009		other_database_import
A/Hubei-Hongshan/SWL143/2010-egg		who_chinese_national_influenza_center
A/Qingdao/F966/2010		other_database_import
A/Utah/57/2009	utah_department_of_health	centers_for_disease_control_and_prevention
A/Georgia/11/2010	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/HongKong/2172/2010-egg	government_virus_unit	centers_for_disease_control_and_prevention
A/Boston/149/2009		other_database_import
A/Jiangsu-Gulou/SWL1584/2009		who_chinese_national_influenza_center
A/Bangalore/NIV236/2009		other_database_import
A/Argentina/HNRG45/2009-egg		other_database_import
A/Guangxi-Fangcheng/SWL183/2010		who_chinese_national_influenza_center
A/Argentina/7/2011	instituto_nacional_de_enfermedades_infecciosas	centers_for_disease_control_and_prevention
A/England/280/2010	microbiology_services_colindale,_public_health_england	other_database_import
A/Guam/NHRC0018/2009		other_database_import
A/Neimenggu-Hangjinhouqi/SWL53/2009-egg		who_chinese_national_influenza_center
A/SouthCarolina/10/2010-egg		other_database_import
A/WestBengal/4/2009		other_database_import
A/Moscow/WRAIR4308T/2011		other_database_import
A/Moscow/WRAIR4314T/2011		other_database_import
A/Moscow/WRAIR1967P/2011		other_database_import
A/Moscow/WRAIR1968P/2011		other_database_import
A/Argentina/HNRG40/2009-egg		other_database_import
A/Athens/INS398/2010		other_database_import
A/Madrid/INS184/2009		other_database_import
A/Massachusetts/2/2010	massachusetts_department_of_public_health	centers_for_disease_control_and_prevention
A/Hubei-Wuchang/SWL13/2010-egg		who_chinese_national_influenza_center
A/Athens/INS358/2009		other_database_import
A/Russia/200/2009-egg		other_database_import
A/StPetersburg/11/2011-egg	russian_academy_of_medical_sciences	centers_for_disease_control_and_prevention
A/Uganda/MUWRP-243/2011		other_database_import
A/Uganda/MUWRP-240/2011		other_database_import
A/Uganda/MUWRP-236/2010		other_database_import
A/Ethiopia/217/2010	ethiopian_health_and_nutrition_research_institute_(ehnri)	centers_for_disease_control_and_prevention
A/Argentina/HNRG82/2009-egg		other_database_import
A/Neimenggu-Huimin/SWL11560/2009-egg		who_chinese_national_influenza_center
A/Argentina/HNRG42/2009-egg		other_database_import
A/Argentina/HNRG41/2009-egg		other_database_import
A/Kenya/3872/2010-egg	cdc_kenya	centers_for_disease_control_and_prevention
A/Kenya/3840/2010-egg	cdc_kenya	centers_for_disease_control_and_prevention
A/Kenya/3828/2010	cdc_kenya	centers_for_disease_control_and_prevention
A/Kenya/3862/2010	cdc_kenya	centers_for_disease_control_and_prevention
A/Macau/200018/2010	laboratorio_de_saude_publico	who_collaborating_centre_for_reference_and_research_on_influenza
A/Lagos/WRAIR1982N/2009		other_database_import
A/Fujian-Gulou/SWL1257/2010-egg		who_chinese_national_influenza_center
A/Punjab/7/2009		other_database_import
A/Argentina/HNRG13/2009-egg		other_database_import
A/Argentina/HNRG37/2009-egg		other_database_import
A/Singapore/GP4406/2010		other_database_import
A/Guangdong-Futian/SWL1480/2009-egg		who_chinese_national_influenza_center
A/Fujian-Gulou/SWL11951/2009-egg		who_chinese_national_influenza_center
A/NewYork/33/2009-egg		centers_for_disease_control_and_prevention
A/Ireland/4/2009		other_database_import
A/Hunan/SWL18/2009-egg		who_chinese_national_influenza_center
A/Athens/INS262/2009		other_database_import
A/Kenya/64/2009		other_database_import
A/Kenya/45/2009		other_database_import
A/Kenya/31/2009		other_database_import
A/Kenya/4304/2009	cdc_kenya	centers_for_disease_control_and_prevention
A/Australia/66/2009		other_database_import
A/Australia/3/2009		other_database_import
A/Chongqing-Yuzhong/SWL122/2010		who_chinese_national_influenza_center
A/Tomsk/273-MA3/2010		other_database_import
A/Australia/73/2009		other_database_import
A/Guangdong-Luohu/SWL1712/2009-egg		who_chinese_national_influenza_center
A/MadhyaPradesh/11/2009		other_database_import
A/Hawaii/5/2010-egg	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Morocco/274/2009	institut_national_d_hygiene,_ministere_de_la_sante_sante	national_institute_of_hygiene
A/Morocco/618/2009	institut_national_d_hygiene,_ministere_de_la_sante_sante	national_institute_of_hygiene
A/Neimenggu-Huimin/SWL18/2010-egg		who_chinese_national_influenza_center
A/Victoria/2104/2009	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Tanzania/233/2010	national_influenza_lab	centers_for_disease_control_and_prevention
A/California/VRDL13/2010		other_database_import
A/Guangdong-Luohu/SWL130/2010-egg		who_chinese_national_influenza_center
A/Nagano/RC1/2009		other_database_import
A/Karnataka/1/2009		other_database_import
A/Guangdong-Luohu/SWL1792/2009-egg		who_chinese_national_influenza_center
A/Guangdong-Futian/SWL1562/2009-egg		who_chinese_national_influenza_center
A/Korea/CJ04/2009		other_database_import
A/Argentina/HNRG105/2009-egg		other_database_import
A/Argentina/HNRG31/2009-egg		other_database_import
A/Jiangsu-Nanjinggulou/SWL11136/2009		who_chinese_national_influenza_center
A/Victoria/3035/2009	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Guangdong-Ruizhou/SWL1433/2009-egg		who_chinese_national_influenza_center
A/Kerala/2/2009		other_database_import
